NORMAL: 2018.02.06 18:05:02.189    软件启动！
NORMAL: 2018.02.06 18:05:04.996    开始读取ECU信息！
NORMAL: 2018.02.06 18:05:05.063    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 12 00 00 00 00
NORMAL: 2018.02.06 18:05:05.065    接收 0x00d99a04 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 12 00 00 00
NORMAL: 2018.02.06 18:05:05.066    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.068    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.068    接收 0x00d99a08 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 18:05:05.071    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.073    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 87 00 00 00 00
NORMAL: 2018.02.06 18:05:05.075    接收 0x00d99a0f 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 87 30 30 30
NORMAL: 2018.02.06 18:05:05.076    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.077    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.079    接收 0x00d99a12 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 AA AA
NORMAL: 2018.02.06 18:05:05.081    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.083    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 89 00 00 00 00
NORMAL: 2018.02.06 18:05:05.083    接收 0x00d99a17 0x0000073d 数据帧 标准帧 08 10 13 62 F1 89 30 30 30
NORMAL: 2018.02.06 18:05:05.086    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.088    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.088    接收 0x00d99a1c 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 30 30
NORMAL: 2018.02.06 18:05:05.089    接收 0x00d99a1d 0x0000073d 数据帧 标准帧 08 22 30 30 30 30 30 30 AA
NORMAL: 2018.02.06 18:05:05.091    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.093    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8A 00 00 00 00
NORMAL: 2018.02.06 18:05:05.095    接收 0x00d99a23 0x0000073d 数据帧 标准帧 08 10 0D 62 F1 8A 30 30 30
NORMAL: 2018.02.06 18:05:05.096    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.098    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.099    接收 0x00d99a27 0x0000073d 数据帧 标准帧 08 21 30 30 30 30 30 30 30
NORMAL: 2018.02.06 18:05:05.101    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.103    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8B 00 00 00 00
NORMAL: 2018.02.06 18:05:05.105    接收 0x00d99a2c 0x0000073d 数据帧 标准帧 08 07 62 F1 8B 20 17 12 10
NORMAL: 2018.02.06 18:05:05.106    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.108    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 8C 00 00 00 00
NORMAL: 2018.02.06 18:05:05.110    接收 0x00d99a31 0x0000073d 数据帧 标准帧 08 10 13 62 F1 8C 31 32 33
NORMAL: 2018.02.06 18:05:05.111    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.113    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.113    接收 0x00d99a36 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 18:05:05.116    接收 0x00d99a38 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 18:05:05.116    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.118    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 90 00 00 00 00
NORMAL: 2018.02.06 18:05:05.120    接收 0x00d99a3b 0x0000073d 数据帧 标准帧 08 10 14 62 F1 90 00 00 00
NORMAL: 2018.02.06 18:05:05.121    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.123    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.125    接收 0x00d99a40 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.126    接收 0x00d99a41 0x0000073d 数据帧 标准帧 08 22 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.126    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.128    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 93 00 00 00 00
NORMAL: 2018.02.06 18:05:05.128    接收 0x00d99a44 0x0000073d 数据帧 标准帧 08 10 13 62 F1 93 31 32 33
NORMAL: 2018.02.06 18:05:05.131    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.133    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.133    接收 0x00d99a49 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 18:05:05.136    接收 0x00d99a4b 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 18:05:05.136    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.138    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 94 00 00 00 00
NORMAL: 2018.02.06 18:05:05.143    接收 0x00d99a52 0x0000073d 数据帧 标准帧 08 10 13 62 F1 94 31 32 33
NORMAL: 2018.02.06 18:05:05.143    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.146    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.146    接收 0x00d99a56 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 18:05:05.148    接收 0x00d99a57 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 18:05:05.148    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.150    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 95 00 00 00 00
NORMAL: 2018.02.06 18:05:05.151    接收 0x00d99a5b 0x0000073d 数据帧 标准帧 08 10 13 62 F1 95 31 32 33
NORMAL: 2018.02.06 18:05:05.153    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.156    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.156    接收 0x00d99a60 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 18:05:05.158    接收 0x00d99a61 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 18:05:05.158    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.160    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 9D 00 00 00 00
NORMAL: 2018.02.06 18:05:05.160    接收 0x00d99a64 0x0000073d 数据帧 标准帧 08 07 62 F1 9D 00 00 00 00
NORMAL: 2018.02.06 18:05:05.163    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.164    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 10 00 00 00 00
NORMAL: 2018.02.06 18:05:05.165    接收 0x00d99a69 0x0000073d 数据帧 标准帧 08 10 0B 62 F1 10 00 00 00
NORMAL: 2018.02.06 18:05:05.168    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.170    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.172    接收 0x00d99a6f 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 AA AA
NORMAL: 2018.02.06 18:05:05.173    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.175    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 01 00 00 00 00
NORMAL: 2018.02.06 18:05:05.177    接收 0x00d99a74 0x0000073d 数据帧 标准帧 08 04 62 F1 01 00 AA AA AA
NORMAL: 2018.02.06 18:05:05.178    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.180    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 92 00 00 00 00
NORMAL: 2018.02.06 18:05:05.182    接收 0x00d99a79 0x0000073d 数据帧 标准帧 08 10 13 62 F1 92 31 32 33
NORMAL: 2018.02.06 18:05:05.183    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.184    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.184    接收 0x00d99a7d 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 18:05:05.186    接收 0x00d99a7e 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 18:05:05.188    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.190    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 98 00 00 00 00
NORMAL: 2018.02.06 18:05:05.192    接收 0x00d99a83 0x0000073d 数据帧 标准帧 08 10 13 62 F1 98 00 00 00
NORMAL: 2018.02.06 18:05:05.193    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.195    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.197    接收 0x00d99a88 0x0000073d 数据帧 标准帧 08 21 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.198    接收 0x00d99a89 0x0000073d 数据帧 标准帧 08 22 00 00 00 00 00 00 AA
NORMAL: 2018.02.06 18:05:05.198    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.200    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 99 00 00 00 00
NORMAL: 2018.02.06 18:05:05.202    接收 0x00d99a8d 0x0000073d 数据帧 标准帧 08 07 62 F1 99 00 00 00 00
NORMAL: 2018.02.06 18:05:05.204    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.205    发送 0000000000 0x00000735 数据帧 标准帧 08 03 22 F1 80 00 00 00 00
NORMAL: 2018.02.06 18:05:05.207    接收 0x00d99a92 0x0000073d 数据帧 标准帧 08 10 13 62 F1 80 31 32 33
NORMAL: 2018.02.06 18:05:05.208    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.209    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:05.211    接收 0x00d99a96 0x0000073d 数据帧 标准帧 08 21 34 35 36 37 38 39 41
NORMAL: 2018.02.06 18:05:05.212    接收 0x00d99a97 0x0000073d 数据帧 标准帧 08 22 42 43 44 45 46 31 AA
NORMAL: 2018.02.06 18:05:05.213    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:05.213    读取ECU信息成功！
NORMAL: 2018.02.06 18:05:06.327    开始读取故障码！
NORMAL: 2018.02.06 18:05:06.415    发送 0000000000 0x00000735 数据帧 标准帧 08 03 19 02 FF 00 00 00 00
NORMAL: 2018.02.06 18:05:06.417    接收 0x00d99f4c 0x0000073d 数据帧 标准帧 08 12 4B 59 02 49 1C 03 00
NORMAL: 2018.02.06 18:05:06.423    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:06.425    发送 0000000000 0x00000735 数据帧 标准帧 08 30 00 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:06.427    接收 0x00d99f56 0x0000073d 数据帧 标准帧 08 21 49 06 06 00 49 15 03
NORMAL: 2018.02.06 18:05:06.430    接收 0x00d99f57 0x0000073d 数据帧 标准帧 08 22 00 49 0A 1B 01 49 11
NORMAL: 2018.02.06 18:05:06.431    接收 0x00d99f58 0x0000073d 数据帧 标准帧 08 23 00 00 49 11 01 00 49
NORMAL: 2018.02.06 18:05:06.431    接收 0x00d99f59 0x0000073d 数据帧 标准帧 08 24 11 02 00 49 11 03 00
NORMAL: 2018.02.06 18:05:06.431    接收 0x00d99f5a 0x0000073d 数据帧 标准帧 08 25 49 11 04 00 49 11 05
NORMAL: 2018.02.06 18:05:06.432    接收 0x00d99f5b 0x0000073d 数据帧 标准帧 08 26 00 49 11 07 00 49 11
NORMAL: 2018.02.06 18:05:06.433    接收 0x00d99f5c 0x0000073d 数据帧 标准帧 08 27 08 00 49 11 09 00 49
NORMAL: 2018.02.06 18:05:06.434    接收 0x00d99f5e 0x0000073d 数据帧 标准帧 08 28 11 0B 00 49 11 0C 00
NORMAL: 2018.02.06 18:05:06.438    接收 0x00d99f60 0x0000073d 数据帧 标准帧 08 29 49 11 0D 00 49 11 0E
NORMAL: 2018.02.06 18:05:06.440    接收 0x00d99f62 0x0000073d 数据帧 标准帧 08 2A 00 49 11 0F 00 49 11
NORMAL: 2018.02.06 18:05:06.441    接收 0x00d99f64 0x0000073d 数据帧 标准帧 08 2B 10 00 49 11 11 00 49
NORMAL: 2018.02.06 18:05:06.443    接收 0x00d99f66 0x0000073d 数据帧 标准帧 08 2C 11 12 00 49 11 13 00
NORMAL: 2018.02.06 18:05:06.450    接收 0x00d99f68 0x0000073d 数据帧 标准帧 08 2D 49 11 15 00 49 11 16
NORMAL: 2018.02.06 18:05:06.453    接收 0x00d99f6a 0x0000073d 数据帧 标准帧 08 2E 00 49 11 17 00 49 11
NORMAL: 2018.02.06 18:05:06.454    接收 0x00d99f6c 0x0000073d 数据帧 标准帧 08 2F 18 00 49 11 19 00 49
NORMAL: 2018.02.06 18:05:06.456    接收 0x00d99f6e 0x0000073d 数据帧 标准帧 08 20 11 1B 00 49 11 1C 00
NORMAL: 2018.02.06 18:05:06.457    接收 0x00d99f6f 0x0000073d 数据帧 标准帧 08 21 49 11 1D 00 49 11 1E
NORMAL: 2018.02.06 18:05:06.459    接收 0x00d99f71 0x0000073d 数据帧 标准帧 08 22 00 49 11 20 00 49 11
NORMAL: 2018.02.06 18:05:06.460    接收 0x00d99f72 0x0000073d 数据帧 标准帧 08 23 21 00 49 11 22 00 49
NORMAL: 2018.02.06 18:05:06.460    接收 0x00d99f73 0x0000073d 数据帧 标准帧 08 24 11 23 00 49 11 24 00
NORMAL: 2018.02.06 18:05:06.462    接收 0x00d99f74 0x0000073d 数据帧 标准帧 08 25 49 11 25 00 49 11 27
NORMAL: 2018.02.06 18:05:06.463    接收 0x00d99f75 0x0000073d 数据帧 标准帧 08 26 00 49 11 28 00 49 11
NORMAL: 2018.02.06 18:05:06.464    接收 0x00d99f76 0x0000073d 数据帧 标准帧 08 27 29 00 49 11 2A 00 49
NORMAL: 2018.02.06 18:05:06.465    接收 0x00d99f77 0x0000073d 数据帧 标准帧 08 28 11 2B 00 49 11 2C 00
NORMAL: 2018.02.06 18:05:06.466    接收 0x00d99f78 0x0000073d 数据帧 标准帧 08 29 49 11 2D 00 49 11 2E
NORMAL: 2018.02.06 18:05:06.467    接收 0x00d99f79 0x0000073d 数据帧 标准帧 08 2A 00 49 11 2F 00 49 11
NORMAL: 2018.02.06 18:05:06.468    接收 0x00d99f7a 0x0000073d 数据帧 标准帧 08 2B 30 00 49 11 31 00 49
NORMAL: 2018.02.06 18:05:06.470    接收 0x00d99f7c 0x0000073d 数据帧 标准帧 08 2C 11 32 00 49 11 33 00
NORMAL: 2018.02.06 18:05:06.472    接收 0x00d99f7e 0x0000073d 数据帧 标准帧 08 2D 49 11 34 00 49 11 36
NORMAL: 2018.02.06 18:05:06.474    接收 0x00d99f80 0x0000073d 数据帧 标准帧 08 2E 00 49 11 37 00 49 06
NORMAL: 2018.02.06 18:05:06.475    接收 0x00d99f82 0x0000073d 数据帧 标准帧 08 2F 2F 42 49 06 2F 43 49
NORMAL: 2018.02.06 18:05:06.476    接收 0x00d99f83 0x0000073d 数据帧 标准帧 08 20 06 2F 45 49 15 04 00
NORMAL: 2018.02.06 18:05:06.477    接收 0x00d99f84 0x0000073d 数据帧 标准帧 08 21 49 D2 0C 00 49 D2 0D
NORMAL: 2018.02.06 18:05:06.478    接收 0x00d99f85 0x0000073d 数据帧 标准帧 08 22 00 49 D2 00 00 49 D2
NORMAL: 2018.02.06 18:05:06.479    接收 0x00d99f86 0x0000073d 数据帧 标准帧 08 23 01 00 49 D2 02 00 49
NORMAL: 2018.02.06 18:05:06.480    接收 0x00d99f87 0x0000073d 数据帧 标准帧 08 24 D2 03 00 49 D2 04 00
NORMAL: 2018.02.06 18:05:06.481    接收 0x00d99f88 0x0000073d 数据帧 标准帧 08 25 49 D2 05 00 49 D2 06
NORMAL: 2018.02.06 18:05:06.483    接收 0x00d99f8a 0x0000073d 数据帧 标准帧 08 26 00 49 D2 07 00 49 D2
NORMAL: 2018.02.06 18:05:06.484    接收 0x00d99f8b 0x0000073d 数据帧 标准帧 08 27 08 00 49 D2 09 00 49
NORMAL: 2018.02.06 18:05:06.485    接收 0x00d99f8c 0x0000073d 数据帧 标准帧 08 28 D2 0A 00 49 D2 0B 00
NORMAL: 2018.02.06 18:05:06.486    接收 0x00d99f8d 0x0000073d 数据帧 标准帧 08 29 49 06 B0 13 49 1C 06
NORMAL: 2018.02.06 18:05:06.487    接收 0x00d99f8e 0x0000073d 数据帧 标准帧 08 2A 19 49 C0 73 88 49 0A
NORMAL: 2018.02.06 18:05:06.488    接收 0x00d99f8f 0x0000073d 数据帧 标准帧 08 2B 90 00 49 0C 01 00 49
NORMAL: 2018.02.06 18:05:06.489    接收 0x00d99f90 0x0000073d 数据帧 标准帧 08 2C 0B E5 00 49 18 00 12
NORMAL: 2018.02.06 18:05:06.490    接收 0x00d99f91 0x0000073d 数据帧 标准帧 08 2D 49 0B E8 00 49 18 00
NORMAL: 2018.02.06 18:05:06.491    接收 0x00d99f92 0x0000073d 数据帧 标准帧 08 2E 11 49 0B E7 00 49 0B
NORMAL: 2018.02.06 18:05:06.492    接收 0x00d99f93 0x0000073d 数据帧 标准帧 08 2F FD 00 49 0B E9 00 49
NORMAL: 2018.02.06 18:05:06.494    接收 0x00d99f95 0x0000073d 数据帧 标准帧 08 20 18 01 12 49 0B EC 00
NORMAL: 2018.02.06 18:05:06.496    接收 0x00d99f97 0x0000073d 数据帧 标准帧 08 21 49 18 01 11 49 0B EB
NORMAL: 2018.02.06 18:05:06.498    接收 0x00d99f99 0x0000073d 数据帧 标准帧 08 22 00 49 0B ED 00 49 18
NORMAL: 2018.02.06 18:05:06.499    接收 0x00d99f9b 0x0000073d 数据帧 标准帧 08 23 02 12 49 0B F0 00 49
NORMAL: 2018.02.06 18:05:06.500    接收 0x00d99f9c 0x0000073d 数据帧 标准帧 08 24 18 02 11 49 0B EF 00
NORMAL: 2018.02.06 18:05:06.501    接收 0x00d99f9d 0x0000073d 数据帧 标准帧 08 25 49 1C 08 19 49 13 00
NORMAL: 2018.02.06 18:05:06.502    接收 0x00d99f9e 0x0000073d 数据帧 标准帧 08 26 00 49 13 03 00 49 13
NORMAL: 2018.02.06 18:05:06.503    接收 0x00d99f9f 0x0000073d 数据帧 标准帧 08 27 04 00 49 13 05 00 49
NORMAL: 2018.02.06 18:05:06.504    接收 0x00d99fa0 0x0000073d 数据帧 标准帧 08 28 13 06 00 49 13 07 00
NORMAL: 2018.02.06 18:05:06.505    接收 0x00d99fa1 0x0000073d 数据帧 标准帧 08 29 49 13 08 00 49 13 09
NORMAL: 2018.02.06 18:05:06.507    接收 0x00d99fa3 0x0000073d 数据帧 标准帧 08 2A 00 49 13 0A 00 49 13
NORMAL: 2018.02.06 18:05:06.508    接收 0x00d99fa4 0x0000073d 数据帧 标准帧 08 2B 0B 00 49 13 0C 00 49
NORMAL: 2018.02.06 18:05:06.509    接收 0x00d99fa5 0x0000073d 数据帧 标准帧 08 2C 13 13 00 49 C2 93 00
NORMAL: 2018.02.06 18:05:06.510    接收 0x00d99fa6 0x0000073d 数据帧 标准帧 08 2D 49 15 07 00 49 14 00
NORMAL: 2018.02.06 18:05:06.511    接收 0x00d99fa7 0x0000073d 数据帧 标准帧 08 2E 00 49 0C 17 91 49 0C
NORMAL: 2018.02.06 18:05:06.512    接收 0x00d99fa8 0x0000073d 数据帧 标准帧 08 2F 4E 99 49 17 00 00 49
NORMAL: 2018.02.06 18:05:06.513    接收 0x00d99fa9 0x0000073d 数据帧 标准帧 08 20 17 01 00 49 C4 01 00
NORMAL: 2018.02.06 18:05:06.514    接收 0x00d99faa 0x0000073d 数据帧 标准帧 08 21 49 0C 53 00 49 0C 51
NORMAL: 2018.02.06 18:05:06.515    接收 0x00d99fab 0x0000073d 数据帧 标准帧 08 22 1C 49 0C 52 00 49 0A
NORMAL: 2018.02.06 18:05:06.516    接收 0x00d99fac 0x0000073d 数据帧 标准帧 08 23 44 00 49 17 09 00 49
NORMAL: 2018.02.06 18:05:06.518    接收 0x00d99fae 0x0000073d 数据帧 标准帧 08 24 1C 0E 00 49 0A 8E 00
NORMAL: 2018.02.06 18:05:06.520    接收 0x00d99fb0 0x0000073d 数据帧 标准帧 08 25 49 0A EF 00 49 0A F0
NORMAL: 2018.02.06 18:05:06.522    接收 0x00d99fb2 0x0000073d 数据帧 标准帧 08 26 00 49 0A ED 00 49 0A
NORMAL: 2018.02.06 18:05:06.523    接收 0x00d99fb4 0x0000073d 数据帧 标准帧 08 27 F4 00 49 0A F5 00 49
NORMAL: 2018.02.06 18:05:06.524    接收 0x00d99fb5 0x0000073d 数据帧 标准帧 08 28 0A F2 00 49 0B D3 00
NORMAL: 2018.02.06 18:05:06.525    接收 0x00d99fb6 0x0000073d 数据帧 标准帧 08 29 49 0B D4 00 49 0A D1
NORMAL: 2018.02.06 18:05:06.526    接收 0x00d99fb7 0x0000073d 数据帧 标准帧 08 2A 00 49 19 87 00 49 19
NORMAL: 2018.02.06 18:05:06.527    接收 0x00d99fb8 0x0000073d 数据帧 标准帧 08 2B 89 00 49 0A 32 00 49
NORMAL: 2018.02.06 18:05:06.528    接收 0x00d99fb9 0x0000073d 数据帧 标准帧 08 2C 0A 33 00 49 19 83 00
NORMAL: 2018.02.06 18:05:06.529    接收 0x00d99fba 0x0000073d 数据帧 标准帧 08 2D 49 19 85 00 49 05 63
NORMAL: 2018.02.06 18:05:06.531    接收 0x00d99fbc 0x0000073d 数据帧 标准帧 08 2E 00 49 05 62 00 49 0C
NORMAL: 2018.02.06 18:05:06.532    接收 0x00d99fbd 0x0000073d 数据帧 标准帧 08 2F 79 00 49 0C 79 17 49
NORMAL: 2018.02.06 18:05:06.533    接收 0x00d99fbe 0x0000073d 数据帧 标准帧 08 20 06 43 00 49 06 51 00
NORMAL: 2018.02.06 18:05:06.534    接收 0x00d99fbf 0x0000073d 数据帧 标准帧 08 21 49 06 52 00 49 1C 15
NORMAL: 2018.02.06 18:05:06.535    接收 0x00d99fc0 0x0000073d 数据帧 标准帧 08 22 00 49 06 99 00 49 06
NORMAL: 2018.02.06 18:05:06.536    接收 0x00d99fc1 0x0000073d 数据帧 标准帧 08 23 98 00 49 0A 1B 47 49
NORMAL: 2018.02.06 18:05:06.536    返回数据接收完毕，本条指令完成！
NORMAL: 2018.02.06 18:05:08.489    读取故障码成功！
NORMAL: 2018.02.06 18:05:09.090    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:09.093    接收 0x00d9a9bf 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 18:05:09.094    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:05:11.096    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:11.096    接收 0x00d9b194 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 18:05:11.099    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:05:12.277    CAN设备已经打开，进行关闭！
